"Logik; Was ist Logik?" | Logik ist die Wissenschaft des korrekten Schließens. Sie untersucht, wie aus gegebenen Prämissen gültige Schlussfolgerungen gezogen werden können. In der KI wird Wissen durch logische Systeme formalisiert.
"Syntax; Was bedeutet Syntax in der Logik?" | Syntax beschreibt die formalen Regeln zur Bildung von logischen Sätzen. Sie definiert, welche Zeichenketten in einer Logik zulässig sind, ähnlich wie Grammatik in einer Sprache.
"Semantik; Was bedeutet Semantik in der Logik?" | Semantik beschreibt die Bedeutung der Sätze. Sie legt fest, ob ein Satz unter einer gegebenen Interpretation wahr oder falsch ist.
"Beispiel Syntax und Semantik; Wie unterscheiden sich Syntax und Semantik in Programmiersprachen?" | Syntax stellt sicher, dass der Code korrekt geschrieben ist und kompiliert, während Semantik überprüft, ob der Code das gewünschte Verhalten zeigt.
"Knowledge Base (KB); Was ist eine Knowledge Base (KB)?" | Eine Knowledge Base ist eine Menge von Sätzen in einer formalen Sprache, die Informationen über die Welt beschreibt. Sie dient als Wissensspeicher für logische Agenten.
"Inferenzmaschine; Was ist eine Inferenzmaschine?" | Eine Inferenzmaschine zieht logische Schlussfolgerungen aus einer Knowledge Base, um neues Wissen zu generieren.
"Intelligente Agenten; Was macht einen intelligenten Agenten aus?" | Ein intelligenter Agent nimmt seine Umgebung durch Sensoren wahr, verwendet Wissen zur Entscheidungsfindung und handelt durch Aktuatoren auf die Umgebung ein.
"Logische Äquivalenz; Wann sind zwei Sätze logisch äquivalent?" | Zwei Sätze sind logisch äquivalent, wenn sie für jede mögliche Belegung der Variablen denselben Wahrheitswert haben.
"Tautologie; Was ist eine Tautologie?" | Eine Tautologie ist ein Satz, der unter jeder möglichen Belegung der Variablen wahr ist. Beispiel: \\((P OR NOT(P))\\).
"Inferenz; Was bedeutet Inferenz in der Aussagenlogik?" | Inferenz ist der Prozess, neue Sätze aus gegebenen Sätzen (Knowledge Base) abzuleiten. Ein Satz \\( a \\) ist aus KB ableitbar, wenn \\( a \\) in allen Modellen der KB wahr ist.
"Modus Ponens; Was ist das Inferenzmuster Modus Ponens?" | Modus Ponens lautet: Wenn \\( P \\) wahr ist und \\( P => Q \\) wahr ist, dann ist auch \\( Q \\) wahr.
"Einheitliche Klauselform (CNF); Was ist die Konjunktive Normalform?" | Eine logische Formel in CNF ist eine Konjunktion von Klauseln, wobei jede Klausel eine Disjunktion von Literalen ist. Beispiel: \\((A OR B) AND (NOT(A) OR C)\\).
"Resolution; Wie funktioniert Resolution in der Aussagenlogik?" | Resolution ist ein Beweisverfahren, bei dem widersprüchliche Klauseln kombiniert werden, um die leere Klausel zu erzeugen, was auf eine Unvereinbarkeit hinweist.
"Horn-Klauseln; Was sind Horn-Klauseln?" | Eine Horn-Klausel ist eine Klausel mit höchstens einem positiven Literal. Sie werden häufig in effizienten Inferenzsystemen verwendet.
"Beispiel Horn-Klauseln; Wie sieht eine Horn-Klausel aus?" | Beispiel: \\((NOT(A) OR NOT(B) OR C))\\ ist eine Horn-Klausel, da sie höchstens ein positives Literal (C) enthält.
"Wumpus-Welt; Was ist die Wumpus-Welt?" | Die Wumpus-Welt ist ein KI-Problem, bei dem ein Agent Informationen aus Sensoren wie Gestank oder Brise verwendet, um Hindernissen und Gefahren auszuweichen.
"Beispiel Wumpus-Welt; Welche Sensoren hat der Agent in der Wumpus-Welt?" | Der Agent verfügt über: **Stench** (Gestank), **Breeze** (Brise), **Glitter** (Glitzern), **Bump** (Stoßen), **Scream** (Schrei).
"Beweisführung; Wie kann man beweisen, dass 'SprinklersOn' wahr ist?" | Durch Modus Ponens und Resolution: Gegeben die Aussagen der Knowledge Base, kann Schritt für Schritt logisch gezeigt werden, dass die Sprinkler eingeschaltet sind.
"Limitationen der Aussagenlogik; Welche Nachteile hat die Aussagenlogik?" | 1. Keine Objekte oder Relationen, 2. Begrenzte Ausdruckskraft, 3. Fehlende Variablen, die Aussagen verallgemeinern.
"Aristotelisches Prinzip; Was besagt das Prinzip des Non-Contradiction?" | Das Prinzip des Non-Contradiction besagt, dass ein Satz nicht gleichzeitig wahr und falsch sein kann. Beispiel: \\( P AND NOT(P) \\) ist immer falsch.
"Unit Resolution; Was ist Unit Resolution?" | Unit Resolution ist eine vereinfachte Form der Resolution, bei der eine Klausel mit nur einem Literal verwendet wird, um andere Klauseln zu reduzieren.
"Generelle Resolution; Wie funktioniert allgemeine Resolution?" | Bei der allgemeinen Resolution werden zwei Klauseln kombiniert, die ein positives und ein negatives Literal gemeinsam haben, um neue Klauseln zu erzeugen.
"Zusammenfassung; Was sollte man aus dieser Sitzung über Aussagenlogik gelernt haben?" | Man sollte: 1. Aussagen in Logik übersetzen können, 2. Logische Schlussfolgerungen ziehen, 3. CNF-Form erstellen, 4. Resolution anwenden, um Beweise zu führen.
